# y+ ()       
# Time        	patch         	min           	max           	average       
2200          	airfoil-l2	3.605298e-02	8.647796e-02	6.661353e-02
2200          	wall-l2	1.701747e+01	2.212433e+01	1.902921e+01
2200          	wall-h2	1.752146e+01	2.322239e+01	1.971940e+01
2200          	airfoil-h2	3.588229e-02	8.816104e-02	6.672998e-02
2200          	wall-h1	1.663946e+01	1.751475e+01	1.710083e+01
2200          	airfoil-h1	3.282329e-02	1.024452e-01	9.156833e-02
2250          	airfoil-l1	4.031339e-02	1.029857e-01	9.096706e-02
2250          	wall-l1	1.618768e+01	1.700864e+01	1.662047e+01
2250          	airfoil-l2	3.604129e-02	8.647720e-02	6.660693e-02
2250          	wall-l2	1.701492e+01	2.211752e+01	1.902584e+01
2250          	wall-h2	1.752420e+01	2.322711e+01	1.972378e+01
2250          	airfoil-h2	3.587425e-02	8.816133e-02	6.672531e-02
2250          	wall-h1	1.664322e+01	1.751755e+01	1.710378e+01
2250          	airfoil-h1	3.282760e-02	1.024459e-01	9.156874e-02
2300          	airfoil-l1	4.031018e-02	1.029853e-01	9.096655e-02
2300          	wall-l1	1.618669e+01	1.700578e+01	1.661828e+01
2300          	airfoil-l2	3.603095e-02	8.647655e-02	6.660115e-02
2300          	wall-l2	1.701215e+01	2.211218e+01	1.902328e+01
2300          	wall-h2	1.752688e+01	2.323242e+01	1.972818e+01
2300          	airfoil-h2	3.586731e-02	8.816161e-02	6.672129e-02
2300          	wall-h1	1.664657e+01	1.752008e+01	1.710641e+01
2300          	airfoil-h1	3.283152e-02	1.024465e-01	9.156912e-02
2350          	airfoil-l1	4.030716e-02	1.029849e-01	9.096609e-02
2350          	wall-l1	1.618398e+01	1.700517e+01	1.661635e+01
2350          	airfoil-l2	3.602167e-02	8.647600e-02	6.659607e-02
2350          	wall-l2	1.701144e+01	2.210865e+01	1.901959e+01
2350          	wall-h2	1.753234e+01	2.324031e+01	1.973202e+01
2350          	airfoil-h2	3.586118e-02	8.816185e-02	6.671781e-02
2350          	wall-h1	1.664852e+01	1.752563e+01	1.710934e+01
2350          	airfoil-h1	3.283519e-02	1.024471e-01	9.156947e-02
2400          	airfoil-l1	4.030390e-02	1.029846e-01	9.096566e-02
2400          	wall-l1	1.618284e+01	1.700233e+01	1.661418e+01
2400          	airfoil-l2	3.601315e-02	8.647552e-02	6.659160e-02
2400          	wall-l2	1.700867e+01	2.210265e+01	1.901694e+01
2400          	wall-h2	1.753366e+01	2.324472e+01	1.973625e+01
2400          	airfoil-h2	3.585560e-02	8.816208e-02	6.671480e-02
2400          	wall-h1	1.665216e+01	1.752687e+01	1.711198e+01
2400          	airfoil-h1	3.283916e-02	1.024478e-01	9.156980e-02
2450          	airfoil-l1	4.030079e-02	1.029842e-01	9.096527e-02
2450          	wall-l1	1.618041e+01	1.700004e+01	1.661203e+01
2450          	airfoil-l2	3.600535e-02	8.647510e-02	6.658765e-02
2450          	wall-l2	1.700636e+01	2.209836e+01	1.901418e+01
2450          	wall-h2	1.753650e+01	2.325102e+01	1.973986e+01
2450          	airfoil-h2	3.585049e-02	8.816228e-02	6.671219e-02
